ID,Timestamp,Log Level,Message,Service Name,Status Code,Response Time (ms),IP Address,Environment
1,2024-12-06T08:31:04.740Z,ERROR,Sample log message 1,UserService,500,93,192.168.124.94,development
2,2025-03-13T05:08:03.029Z,WARN,Sample log message 2,UserService,403,96,192.168.254.91,production
3,2025-03-09T00:46:58.350Z,INFO,Sample log message 3,UserService,404,246,192.168.201.29,production
4,2025-01-18T06:36:45.376Z,WARN,Sample log message 4,UserService,403,23,192.168.180.49,development
5,2024-12-19T09:20:19.843Z,INFO,Sample log message 5,PaymentService,403,130,192.168.164.10,development
6,2024-12-19T04:09:48.234Z,ERROR,Sample log message 6,PaymentService,403,213,192.168.18.40,production
7,2025-03-07T07:08:49.928Z,WARN,Sample log message 7,PaymentService,400,81,192.168.25.127,staging
8,2024-12-12T20:30:59.808Z,ERROR,Sample log message 8,PaymentService,500,246,192.168.123.77,staging
9,2025-03-10T01:33:10.835Z,INFO,Sample log message 9,UserService,201,394,192.168.77.95,staging
10,2024-12-08T02:06:30.154Z,WARN,Sample log message 10,AuthService,400,60,192.168.97.193,staging
11,2024-12-04T18:56:39.609Z,WARN,Sample log message 11,AuthService,500,320,192.168.13.219,staging
12,2025-01-03T01:59:53.660Z,INFO,Sample log message 12,UserService,404,108,192.168.229.99,development
13,2025-03-05T19:24:12.358Z,INFO,Sample log message 13,PaymentService,403,395,192.168.228.5,development
14,2025-02-26T17:43:21.183Z,INFO,Sample log message 14,AuthService,401,445,192.168.190.118,development
15,2024-12-24T20:09:15.146Z,WARN,Sample log message 15,UserService,201,431,192.168.55.37,development
16,2024-12-23T12:49:32.293Z,ERROR,Sample log message 16,PaymentService,401,249,192.168.18.28,staging
17,2025-01-20T15:48:33.543Z,INFO,Sample log message 17,AuthService,404,387,192.168.165.16,development
18,2025-03-04T08:34:45.364Z,WARN,Sample log message 18,AuthService,201,128,192.168.88.244,production
19,2025-01-16T21:00:04.846Z,WARN,Sample log message 19,PaymentService,201,340,192.168.29.53,development
20,2025-01-20T06:20:34.417Z,ERROR,Sample log message 20,AuthService,200,280,192.168.160.113,staging
21,2025-03-02T18:41:21.503Z,ERROR,Sample log message 21,UserService,404,412,192.168.233.221,production
22,2025-02-10T17:54:05.911Z,WARN,Sample log message 22,PaymentService,201,64,192.168.183.105,staging
23,2024-12-11T10:22:27.419Z,INFO,Sample log message 23,PaymentService,201,305,192.168.188.43,production
24,2025-01-04T22:04:41.154Z,ERROR,Sample log message 24,AuthService,200,314,192.168.121.97,production
25,2025-01-09T16:58:09.808Z,INFO,Sample log message 25,PaymentService,400,281,192.168.40.215,production
26,2025-03-03T06:03:13.076Z,WARN,Sample log message 26,PaymentService,201,83,192.168.103.42,production
27,2025-01-25T10:24:40.594Z,WARN,Sample log message 27,AuthService,404,480,192.168.75.176,staging
28,2024-12-13T21:41:14.614Z,WARN,Sample log message 28,AuthService,400,70,192.168.220.121,production
29,2025-02-25T19:14:58.703Z,WARN,Sample log message 29,AuthService,404,337,192.168.112.95,development
30,2024-12-22T01:20:07.944Z,WARN,Sample log message 30,AuthService,200,230,192.168.104.70,staging
31,2025-03-15T07:06:50.725Z,ERROR,Sample log message 31,AuthService,201,308,192.168.55.113,staging
32,2025-03-02T03:18:34.219Z,WARN,Sample log message 32,UserService,401,103,192.168.231.155,production
33,2025-01-01T01:48:03.855Z,WARN,Sample log message 33,AuthService,201,24,192.168.53.191,production
34,2025-01-04T01:19:25.846Z,INFO,Sample log message 34,UserService,404,62,192.168.66.246,staging
35,2025-03-01T16:31:36.396Z,WARN,Sample log message 35,AuthService,400,220,192.168.234.222,staging
36,2024-12-21T12:37:42.519Z,WARN,Sample log message 36,UserService,500,362,192.168.124.101,development
37,2025-01-14T23:19:42.039Z,INFO,Sample log message 37,PaymentService,500,60,192.168.159.70,production
38,2024-12-19T19:17:08.316Z,INFO,Sample log message 38,AuthService,403,460,192.168.60.185,development
39,2025-03-18T10:40:31.106Z,INFO,Sample log message 39,PaymentService,201,177,192.168.206.105,production
40,2025-02-22T01:20:54.608Z,ERROR,Sample log message 40,PaymentService,200,456,192.168.156.161,development
41,2024-12-12T13:50:29.466Z,ERROR,Sample log message 41,AuthService,404,468,192.168.122.123,development
42,2024-12-03T10:59:14.868Z,ERROR,Sample log message 42,PaymentService,200,181,192.168.92.119,development
43,2024-12-07T14:31:25.516Z,INFO,Sample log message 43,PaymentService,404,269,192.168.155.102,production
44,2024-12-15T07:48:20.772Z,INFO,Sample log message 44,UserService,400,492,192.168.33.15,staging
45,2025-03-02T05:09:27.814Z,WARN,Sample log message 45,UserService,403,390,192.168.146.29,production
46,2024-12-12T13:38:43.056Z,INFO,Sample log message 46,PaymentService,201,475,192.168.96.171,staging
47,2025-02-01T11:52:29.182Z,WARN,Sample log message 47,PaymentService,201,398,192.168.15.246,staging
48,2024-12-09T03:48:01.070Z,ERROR,Sample log message 48,PaymentService,404,236,192.168.126.20,development
49,2025-02-12T23:36:29.288Z,ERROR,Sample log message 49,PaymentService,400,131,192.168.231.149,production
50,2025-01-21T12:17:42.628Z,ERROR,Sample log message 50,PaymentService,404,464,192.168.240.110,staging
51,2025-03-15T04:27:01.390Z,INFO,Sample log message 51,AuthService,404,339,192.168.160.103,production
52,2024-12-30T16:18:49.754Z,INFO,Sample log message 52,UserService,400,148,192.168.73.45,production
53,2025-01-07T06:11:11.098Z,ERROR,Sample log message 53,UserService,500,334,192.168.125.130,development
54,2025-01-15T13:12:05.708Z,WARN,Sample log message 54,UserService,404,293,192.168.62.100,staging
55,2025-01-22T12:32:19.735Z,WARN,Sample log message 55,UserService,500,145,192.168.119.124,production
56,2024-12-27T05:51:29.304Z,ERROR,Sample log message 56,AuthService,400,383,192.168.96.215,production
57,2025-01-27T05:13:00.380Z,WARN,Sample log message 57,PaymentService,400,195,192.168.186.242,production
58,2025-02-21T17:53:47.697Z,ERROR,Sample log message 58,UserService,200,94,192.168.219.130,development
59,2025-02-23T02:01:48.800Z,INFO,Sample log message 59,AuthService,404,18,192.168.172.16,production
60,2024-12-18T23:43:12.171Z,ERROR,Sample log message 60,AuthService,403,378,192.168.38.138,development
61,2025-02-08T00:35:16.850Z,WARN,Sample log message 61,AuthService,401,185,192.168.167.76,staging
62,2024-12-05T08:05:55.669Z,WARN,Sample log message 62,UserService,400,423,192.168.228.69,production
63,2024-12-13T04:16:54.541Z,ERROR,Sample log message 63,AuthService,500,269,192.168.160.21,production
64,2025-02-20T16:30:36.599Z,ERROR,Sample log message 64,UserService,403,145,192.168.90.148,development
65,2025-02-23T23:33:15.574Z,WARN,Sample log message 65,AuthService,403,295,192.168.84.243,staging
66,2024-12-12T10:11:33.761Z,INFO,Sample log message 66,UserService,404,169,192.168.90.141,staging
67,2024-12-14T06:34:18.271Z,ERROR,Sample log message 67,UserService,401,391,192.168.102.227,development
68,2025-02-27T19:17:55.739Z,ERROR,Sample log message 68,PaymentService,401,398,192.168.125.158,production
69,2024-12-30T16:04:22.484Z,WARN,Sample log message 69,UserService,201,356,192.168.190.0,staging
70,2024-12-31T17:47:54.855Z,WARN,Sample log message 70,PaymentService,404,447,192.168.231.35,production
71,2024-12-28T15:33:50.353Z,INFO,Sample log message 71,PaymentService,201,396,192.168.118.150,development
72,2024-12-15T02:57:33.732Z,ERROR,Sample log message 72,UserService,500,243,192.168.137.190,development
73,2025-03-01T06:09:39.593Z,WARN,Sample log message 73,AuthService,400,290,192.168.123.208,production
74,2025-01-27T00:15:43.982Z,WARN,Sample log message 74,AuthService,200,431,192.168.94.90,staging
75,2025-02-14T05:58:44.661Z,WARN,Sample log message 75,UserService,403,166,192.168.141.249,staging
76,2025-01-04T05:22:02.486Z,WARN,Sample log message 76,PaymentService,201,337,192.168.100.242,production
77,2025-03-09T23:47:54.863Z,ERROR,Sample log message 77,PaymentService,400,68,192.168.162.26,staging
78,2025-03-21T13:01:00.383Z,ERROR,Sample log message 78,UserService,201,279,192.168.67.110,production
79,2025-01-04T03:33:05.123Z,ERROR,Sample log message 79,PaymentService,401,144,192.168.34.156,development
80,2025-01-27T05:53:00.823Z,ERROR,Sample log message 80,PaymentService,404,182,192.168.178.154,production
81,2024-12-23T12:15:39.703Z,WARN,Sample log message 81,PaymentService,201,483,192.168.237.138,development
82,2025-02-07T06:52:42.166Z,INFO,Sample log message 82,PaymentService,200,126,192.168.182.207,staging
83,2025-01-29T09:44:09.678Z,WARN,Sample log message 83,PaymentService,404,209,192.168.229.14,production
84,2024-12-07T16:35:59.743Z,INFO,Sample log message 84,UserService,400,144,192.168.52.31,development
85,2025-03-04T02:06:52.876Z,ERROR,Sample log message 85,UserService,200,306,192.168.89.234,development
86,2024-12-19T05:16:56.200Z,INFO,Sample log message 86,UserService,404,388,192.168.97.218,development
87,2025-01-17T03:09:31.699Z,WARN,Sample log message 87,AuthService,401,458,192.168.240.129,staging
88,2025-03-11T04:56:43.573Z,INFO,Sample log message 88,PaymentService,200,92,192.168.180.46,production
89,2024-12-21T18:33:23.635Z,INFO,Sample log message 89,PaymentService,403,316,192.168.216.245,staging
90,2025-03-03T15:27:17.601Z,ERROR,Sample log message 90,UserService,404,429,192.168.195.247,development
91,2025-01-17T08:00:31.670Z,WARN,Sample log message 91,UserService,500,476,192.168.40.88,staging
92,2025-01-18T23:34:30.241Z,WARN,Sample log message 92,PaymentService,404,213,192.168.65.228,production
93,2025-03-03T23:02:12.301Z,WARN,Sample log message 93,AuthService,500,354,192.168.237.117,development
94,2024-12-19T08:41:05.296Z,INFO,Sample log message 94,AuthService,200,302,192.168.115.180,staging
95,2025-02-15T01:01:15.049Z,INFO,Sample log message 95,PaymentService,404,49,192.168.105.236,staging
96,2024-12-08T08:27:24.872Z,INFO,Sample log message 96,AuthService,201,28,192.168.82.177,staging
97,2024-12-06T02:55:00.747Z,ERROR,Sample log message 97,PaymentService,200,3,192.168.99.169,development
98,2025-02-25T08:42:59.200Z,INFO,Sample log message 98,UserService,500,422,192.168.147.119,production
99,2025-01-07T12:17:06.954Z,ERROR,Sample log message 99,PaymentService,400,34,192.168.36.0,production
100,2024-12-31T08:10:30.413Z,WARN,Sample log message 100,AuthService,200,307,192.168.254.50,production